nu1a	 nu2a	 nu1b	 nu2b	 m	 T1	 T2	theta	log-likelihood	Nancestral	China_a	India_a	 China_b	 India_b	 Sym.Migration	 T1_divergence 	 T2_size.change
1.255514589	2.413109981	2.997365665	0.549815602	0.074423152	1.082914928	0.29640104	957380.1991	-2950023.002	67232.16088	84410.95886	162238.5985	201519.3706	36965.29099	5.53479E-07	1601747.635	438409.0132
0.935853896	0.33519624	1.692463722	1.467840856	0.087399736	0.209921798	0.843228553	981364.2123	-3001719.377	68916.44163	64495.7204	23100.53211	116638.5773	101158.3687	6.34099E-07	318275.3929	1278470.849
0.890070561	0.800741212	2.156528535	0.708330353	0.079610999	0.418394741	0.593475716	1093556.255	-3022706.159	76795.1438	68353.09673	61493.03649	165610.919	54396.33131	5.18334E-07	706875.0551	1002673.164
0.275606923	1.452473504	0.60674333	3.342699939	0.066821868	0.025305025	0.092602366	1626441.529	-3032618.64	114217.0881	31479.02019	165897.2941	69300.45633	381793.4533	2.92521E-07	63585.85674	232688.9974
3.269341832	0.340622641	0.855194032	2.465224697	0.035504796	0.12710249	0.331031004	1266469.528	-3210402.375	88938.00303	290768.7337	30294.29746	76059.24941	219252.1616	1.99604E-07	248693.3168	647707.2007
0.723255038	1.720045537	1.076731355	0.750862751	0.030041605	0.324957812	0.286439552	1367943.301	-3234256.849	96064.01323	69478.7815	165234.4772	103435.1352	72130.88924	1.56362E-07	686768.535	605363.7236
1.021497331	0.56964102	1.621719901	3.653169656	0.052950448	0.402789458	0.295446061	1050711.098	-3331473.432	73786.33654	75372.54587	42031.72402	119660.7704	269554.0057	3.58809E-07	653847.8874	479597.4154
3.888580585	2.975889787	1.274049206	3.162016581	0.054966828	1.139777848	0.27193198	692378.5134	-3341930.096	48622.37975	189072.0419	144694.8433	61947.30434	153744.771	5.65242E-07	1219211.65	290883.5595
3.399351099	0.952148345	1.400364374	2.314119495	0.057232223	0.383696079	0.646364025	900146.9685	-3346171.543	63212.94911	214883.0081	60188.10487	88521.16189	146282.3179	4.52694E-07	533600.3364	898888.6775
0.348280943	1.360882135	1.904542321	2.622807046	0.045752205	0.277607384	0.311898109	1073207.694	-3446164.971	75366.16322	26248.59836	102564.4651	143538.0474	197670.9039	3.03533E-07	460288.4757	517144.4032
3.34857013	0.912598747	0.70939304	0.755036351	0.045732591	0.758702383	0.142868197	1161529.77	-3497507.91	81568.5936	273138.156	74439.39634	57864.19256	61587.25329	2.80332E-07	1361498.3	256378.2745
0.918021272	0.481469573	2.110194827	0.367780313	0.032740324	0.221646054	0.358089785	1379347.394	-3555670.742	96864.86728	88924.00869	46637.48627	204403.7419	35624.99116	1.69E-07	472333.7429	763099.029
1.884439327	2.595676225	0.789964527	0.801370814	0.010361295	0.754615021	0.1667267	1088743.656	-3888104.728	76457.17836	144078.9137	198458.0801	60398.45875	61270.55124	6.77588E-08	1269306.176	280443.9676
1.5467051	0.363256175	1.132158617	1.377513851	0.067925914	0.321809617	0.539566431	1164621.07	-3905542.061	81785.68054	126498.3292	29709.15351	92594.36293	112660.9078	4.15268E-07	579027.207	970833.7707
2.018723249	1.802388697	0.816660388	1.368252777	0.017222444	0.223628088	0.44532837	1226368.132	-3909110.374	86121.87681	173856.2349	155225.0973	70332.32529	117836.4971	9.99888E-08	423703.9547	843755.3307
3.887519623	1.238083389	0.420871514	0.544690291	0.032238952	0.357149022	0.187345187	1603210.116	-3920189.35	112585.6588	437678.9578	139390.434	47384.09665	61324.3153	1.43175E-07	884616.8749	464032.3889
1.247530818	0.688788829	2.512353601	1.764749947	0.028088769	0.44200616	1.020847885	772731.6864	-4002702.276	54265.19278	67697.50031	37377.25856	136333.3525	95764.49606	2.5881E-07	527682.0881	1218723.16
1.238742826	3.258694624	4.921195021	2.716061191	0.027322908	1.582062212	1.348317288	476410.9835	-4016254.074	33456.02919	41443.41616	109022.9825	164643.6443	90868.62248	4.08341E-07	1164449.43	992405.5357
3.071235598	1.760433738	3.38331519	3.201182374	0.029532172	1.035256935	1.995688993	472258.5454	-4077159.982	33164.42364	101855.7585	58383.77028	112205.6983	106165.3684	4.45239E-07	755341.3906	1456089.255
0.597916392	0.58078626	1.010280562	0.440330391	0.028441104	0.13162235	0.44373113	1606601.387	-4150793.928	112823.8113	67459.20615	65526.51938	113983.7035	49679.75296	1.26042E-07	326702.9748	1101395.621
1.481209671	3.14757334	3.861018011	0.331460316	0.075310489	0.360075444	0.658034862	1002254.018	-4187646.666	70383.43125	104252.619	221537.0118	271751.6957	23329.31439	5.35002E-07	557553.5955	1018924.533
2.139891104	1.987759613	2.141543652	1.762836241	0.022660864	0.616816163	1.079302578	741244.5046	-4215019.728	52054.00095	111389.8936	103470.8408	111475.9153	91762.67935	2.17667E-07	706370.4813	1236004.383
2.271789225	0.463800952	1.071815997	2.262319804	0.090707815	0.964269873	0.227720147	1041657.879	-4385156.948	73150.57299	166182.6836	33927.30541	78403.95432	165489.99	6.20008E-07	1551811.662	366472.9031
0.451431647	0.464651935	0.68470419	0.545447927	0.035440659	0.218916122	0.278392315	1774238.74	-4525915.039	124596.1683	56246.65341	57893.8507	85311.51856	67960.72173	1.42222E-07	600074.4199	763105.5458
2.803104494	1.557897085	0.448333799	0.712665748	0.07495391	1.444607876	0.110355014	976730.0145	-4590784.447	68591.00443	192267.7528	106857.7259	30751.66558	48882.45947	5.46383E-07	2179916.315	166525.9475
0.94100803	3.005582332	0.290303252	0.341676849	0.013283711	0.223720648	0.144569325	1991070.332	-4717008.101	139823.1977	131574.7519	420250.1328	40591.129	47774.34969	4.75018E-08	688189.4005	444711.1972
3.026120675	1.035337801	0.946609839	1.203566548	0.016046668	0.234468323	0.679344527	1172105.503	-4753863.56	82311.27593	249083.8539	85219.9754	77916.66363	99067.09826	9.74755E-08	424586.5098	1230189.727
0.375267636	0.764627086	3.156098062	3.826194087	0.013659003	0.250700649	1.422089402	583871.0808	-4865752.45	41002.42984	15386.88493	31351.56844	129407.6894	156883.2546	1.66563E-07	226145.3865	1282800.66
3.701471109	2.229562679	0.566044783	2.275993247	0.031390325	1.330746953	0.151887259	801845.6714	-4951127.789	56309.72652	208428.8259	125546.0647	31873.8269	128160.5573	2.78729E-07	1648547.934	188160.0608
1.149443169	2.138130061	0.946788986	0.210116807	0.010286582	1.094257781	0.01452434	1019788.785	-4995767.469	71614.81269	82317.15726	153121.7838	67804.11586	15047.47577	7.18188E-08	1724031.452	22883.4741
1.051366285	1.309444975	0.868237639	3.002563611	0.012296575	0.079065539	0.666576568	998652.1606	-5131921.387	70130.49026	73732.83305	91832.01808	60889.93129	210571.2581	8.76692E-08	121987.9105	1028441.513
3.510437606	3.802512617	0.87234133	2.718041067	0.05075366	0.67609242	0.591412976	832527.736	-5156568.108	58464.37888	205235.5543	222311.5384	51000.89404	158908.5828	4.34056E-07	869601.1154	760685.0306
1.235167506	0.871597011	0.672352043	3.596399511	0.053794183	0.527985659	0.297698136	1105689.722	-5328230.23	77647.21823	95907.32091	67677.08332	52206.26582	279250.4176	3.46401E-07	901925.5888	508539.5074
0.328326259	1.829054871	1.949253104	0.584863122	0.008914891	0.179178114	0.802605502	1177301.087	-5419863.223	82676.13657	27144.74664	151219.1903	161156.7159	48354.22332	5.39145E-08	325902.593	1459839.087
3.908300537	0.69074942	3.091252511	0.821027768	0.003572149	0.690334246	0.695095883	819857.2802	-5615395.532	57574.59431	225018.8178	39769.61764	177977.6092	47270.34065	3.10219E-08	874405.711	880436.9958
2.908913644	1.770147599	1.296568134	2.73682236	0.042359944	0.950127072	1.286448357	688281.5947	-5697467.099	48334.67305	140601.3899	85559.50547	62669.19684	132283.414	4.38194E-07	1010329.79	1367961.336
2.434358297	0.336569902	1.836104672	1.683223135	0.007086206	0.24093717	1.268154396	826989.6222	-6021135.829	58075.46404	141376.4877	19546.45323	106632.6308	97753.96467	6.10086E-08	307835.8349	1620270.411
1.761023907	0.413674751	0.38914503	1.496692572	0.080829727	0.68186922	0.162299492	1482332.026	-6044425.427	104096.9777	183317.2664	43062.2913	40508.82146	155801.1733	3.88242E-07	1561571.549	371687.5059
0.690789488	0.467719761	1.659374968	1.180063899	0.021749241	0.30445587	1.400224533	909689.1065	-6159713.381	63883.04711	44129.7374	29879.36352	106005.9293	75386.07765	1.70227E-07	427890.5106	1967913.415
0.305143095	2.495673199	2.697792049	0.682023904	0.006020501	0.327499295	0.891006042	1015771.078	-6288820.148	71332.66865	21766.6713	178023.0294	192440.7063	48650.58515	4.22002E-08	513950.7719	1398272.453
0.993451552	2.791321917	2.655858053	0.743799682	0.001203672	1.115088689	0.482629326	907477.6623	-6357123.164	63727.74813	63310.43026	177884.6601	169251.8531	47400.67877	9.44386E-09	1563366.005	676651.3632
0.75097731	0.678161859	1.524294032	0.867981561	0.044703801	1.240324773	1.052091379	961012.985	-6394839.965	67487.27379	50681.41136	45767.29506	102870.4486	58577.70928	3.31202E-07	1841535.026	1562061.137
0.623009789	3.578390336	2.809835931	0.546969225	0.020302877	0.180663773	1.496605963	884047.9814	-6710731.902	62082.39545	38677.94011	222155.0439	174441.3454	33957.15972	1.63516E-07	246752.8756	2044083.43
3.32056239	0.57047727	0.384863001	0.909752717	0.013881553	0.125268232	0.456141805	1677336.711	-6784585.117	117791.2095	391133.0602	67197.20762	45333.47835	107160.873	5.89244E-08	324620.9235	1182048.888
2.074028552	0.351169821	0.654567464	0.558840985	0.031509369	0.110206648	0.79785005	1615871.607	-6938885.67	113474.8138	235350.0037	39848.9301	74276.92114	63414.37667	1.38839E-07	275124.9345	1991789.49
0.822725659	2.283092876	1.593176266	0.859876214	0.006592831	0.376876675	1.211238776	994369.6782	-7034838.049	69829.75232	57450.72901	159427.8101	111251.104	60044.94303	4.72065E-08	578978.5079	1860771.081
0.586425281	2.086611873	0.330484076	0.393962199	0.023721553	0.387191786	0.239519892	1926726.394	-7039062.235	135304.6356	79346.05887	282328.259	44716.02748	53304.91172	8.76598E-08	1152554.558	712979.3382
3.042044938	0.6237456	0.388107172	1.367693499	0.019407125	0.381790944	0.372861748	1454247.175	-7146411.687	102124.715	310667.9724	63699.8417	39635.3343	139675.3088	9.50168E-08	857786.4105	837724.7955
0.639398092	2.598681281	1.314437321	0.740608422	0.020310114	1.222562486	0.48212882	1061422.262	-7230407.631	74538.52956	47659.79361	193701.8815	97976.22511	55203.86273	1.36239E-07	2004816.221	790617.8128
1.90750969	2.000801603	0.945395124	1.557086903	0.013744846	0.393580009	1.271598892	951622.3436	-7517363.199	66827.81466	127474.704	133709.1987	63178.69011	104056.715	1.02838E-07	578646.0224	1869519.852
0.906531333	0.333658223	0.961194783	0.450084591	0.001401162	0.636969412	0.14892242	1597476.542	-7762205.116	112183.0178	101697.4207	37430.78642	107829.7314	50491.84766	6.24498E-09	1572057.319	367544.4624
2.782021714	1.889440775	1.072515229	1.249701381	0.013741159	0.786133358	1.317529129	916120.8595	-7858359.629	64334.71789	178980.5821	121556.6392	68999.96471	80399.18579	1.06794E-07	1112664.692	1864783.027
1.128196375	1.061752126	0.930731065	2.587262779	0.040094679	0.873914675	1.782191137	733466.4223	-7944072.054	51507.78401	58110.89519	54688.49918	47939.89464	133264.1724	3.8921E-07	990294.9829	2019527.755
1.137758896	2.511520872	1.504317361	3.819002275	0.013573675	0.866484017	1.93747548	559803.1218	-8117153.564	39312.25399	44727.8667	98733.54639	59138.10615	150133.5874	1.72639E-07	749395.6743	1675663.62
0.541122572	2.38039255	0.769225417	0.868756732	0.001987501	0.850008896	0.237379541	1213617.487	-8173175.4	85226.46095	46117.96173	202872.4327	65558.35992	74041.06171	1.16601E-08	1593751.499	445082.4003
0.340461404	1.736249782	1.71198335	1.961302402	0.020109346	0.939873739	0.200543431	1049627.58	-8204595.35	73710.24636	25095.49399	127979.3992	126190.7145	144568.0833	1.36408E-07	1524123.148	325206.3255
0.615922957	1.803267209	0.950881662	0.850886103	0.033346648	0.711540988	1.629643795	1060339.449	-8244496.791	74462.48889	45863.15633	134275.7645	70805.01519	63359.09702	2.23916E-07	1165628.484	2669641.326
0.562808094	3.541149368	0.763148586	0.622866369	0.006672757	0.124944679	0.991050324	1450177.925	-8321166.757	101838.9514	57315.78612	360626.9384	77718.2518	63432.05789	3.27613E-08	279933.1729	2220405.568
0.58041988	3.675714193	0.510626678	2.606528254	0.006242191	0.287465641	0.584638331	1057357.187	-8628091.827	74253.05912	43097.95166	272933.0233	37915.59289	193542.6966	4.20332E-08	469594.4717	955046.061
0.95401865	3.489340264	1.133630451	0.839222628	0.015321564	0.189935037	1.866174007	1040478.665	-8688247.96	73067.76247	69708.00813	254958.2856	82831.84049	61320.11966	1.04845E-07	305318.8202	2999857.5
2.659105246	3.389125784	0.635646708	0.620636635	0.008128257	0.527576359	0.849201705	1392126.648	-8808063.693	97762.2922	259960.2241	331328.7052	62142.27923	60674.86009	4.15715E-08	1134695.632	1826437.914
1.781658502	0.405908099	0.631425832	0.66142105	0.031644647	1.802580251	0.170135703	1174946.014	-9134761.148	82510.75125	147005.9814	33491.78222	52099.41974	54574.34769	1.91761E-07	3272109.515	308836.5424
3.304117866	1.655455843	0.515661365	0.57287154	0.002220171	0.19359973	0.799884295	1655737.23	-9178314.641	116274.3829	384184.2659	192487.1065	59958.20705	66610.28478	9.54712E-09	495235.161	2046133.161
1.181777251	2.174500678	0.770974139	3.475773839	0.035387722	0.472362198	1.895237183	688289.9847	-9201094.954	48335.26224	57121.51334	105105.0605	37265.23718	168002.44	3.66065E-07	502298.5159	2015349.297
0.410064311	3.127872127	0.47142069	0.531888959	0.017457874	0.239602769	0.810148347	1737341.425	-9835619.318	122005.0491	50029.91634	381616.1923	57515.70446	64893.13851	7.15457E-08	643120.4459	2174528.155
1.482154767	0.813657183	0.607699268	1.327708886	0.009770597	0.523141306	1.064495273	1143057.319	-10257051.97	80271.36307	118974.5834	65313.37119	48780.84861	106577.002	6.08598E-08	923851.8459	1879866.704
1.245534743	1.91010372	0.367188737	0.548885152	0.00797073	1.896429883	0.135406484	1068509.339	-10507380.3	75036.22055	93460.21967	143326.964	27552.45506	41186.26732	5.31125E-08	3130620.482	223528.5978
0.562686754	2.509114788	0.562149493	0.724546716	0.014713513	0.199156375	1.283601767	1428722.654	-10708527.5	100332.2519	56455.6292	251745.137	56401.72461	72695.40364	7.33239E-08	439599.7671	2833306.43
0.454338597	0.447841725	0.363657136	0.831301206	0.017433055	0.624777568	0.3776612	1725457.295	-11123173.25	121170.4844	55052.42789	54265.19876	44064.5113	100729.1698	7.19361E-08	1665501.212	1006750.593
2.443514159	0.266732811	0.540260756	0.560497955	0.02264512	0.446595309	1.243039455	1516080.89	-11367871.39	106466.9965	260153.6134	28398.24131	57519.94003	59674.53386	1.06348E-07	1046048.547	2911538.901
2.058383564	1.513921613	0.298039112	1.155320174	0.020438015	0.165090134	0.847105497	1476235.05	-11731210.84	103668.8167	213390.1885	156946.4622	30897.3621	119770.6754	9.85736E-08	376523.3745	1932005.34
1.34428554	1.158257599	0.459953567	3.172426243	0.016527045	0.52599969	1.337933787	847206.9272	-12853044.48	59495.22717	79978.57357	68910.79899	27365.04199	188744.22	1.38894E-07	688478.3624	1751214.841
0.74224014	0.325023402	0.404810255	1.939440876	0.017554655	0.595385468	0.870605382	1210301.789	-12878865.31	84993.6156	63085.67311	27624.91408	34406.28722	164840.0923	1.0327E-07	1113287.199	1627909.782
1.692139573	0.620905113	0.429293451	0.727717525	0.023567427	1.530433793	1.114006587	1273357.733	-13101054.03	89421.72819	151314.045	55522.40823	38388.16227	65073.75868	1.31777E-07	3010788.762	2191560.673
0.618703553	0.26621176	0.303956821	1.015074226	0.024122651	0.409263966	1.027983552	1528168.857	-13616806.9	107315.8757	66396.7136	28568.74817	32619.39247	108933.5795	1.12391E-07	966251.4605	2427017.012
