Model,Replicate,log-likelihood,AIC,chi-squared,theta,optimized_params
no_mig_size,Round_4_Replicate_30,-235607.83,471227.66,520408.97,1321213.3,"2.9091,2.4482,21.4077,0.309,0.1943,0.0564"
no_mig_size,Round_4_Replicate_33,-236342.71,472697.42,489613.84,1511174.07,"1.9588,3.4471,9.1322,0.2648,0.1154,0.0684"
no_mig_size,Round_4_Replicate_10,-240136.53,480285.06,512776.02,1380917.62,"3.5837,6.0687,13.8171,0.2991,0.135,0.075"
sec_contact_asym_mig,Round_4_Replicate_35,-390266.94,780545.88,1145743.49,4278144.48,"0.6568,0.1606,8.6384,2.3366,0.5887,10.9461"
sec_contact_asym_mig,Round_4_Replicate_27,-390317.92,780647.84,1162792.19,7223346.2,"0.3967,0.0931,14.7377,4.2099,0.55,10.1898"
sec_contact_asym_mig,Round_3_Replicate_10,-390627.57,781267.14,1135969.49,5142857.89,"0.5396,0.1353,10.3208,2.7027,0.5396,7.764"
sec_contact_asym_mig,Round_4_Replicate_38,-390666.4,781344.8,1146895.81,3296577.71,"0.8542,0.2148,6.6156,1.5919,0.4377,7.7417"
sec_contact_asym_mig,Round_4_Replicate_9,-391108.79,782229.58,1149156.83,8236082.83,"0.3604,0.0775,16.4711,5.0317,0.2983,4.1952"
sec_contact_asym_mig_size,Round_4_Replicate_34,-115861.14,231738.28,217212.65,167218.62,"1.0224,0.0589,19.2554,1.9386,0.031,0.6113,1.0835,10.812"
sec_contact_asym_mig_size,Round_4_Replicate_4,-115948.78,231913.56,217204.78,181884.35,"1.0629,0.0316,18.2842,1.6624,0.018,0.7144,0.6918,9.7788"
sec_contact_asym_mig_size,Round_4_Replicate_32,-119260.53,238537.06,227131.33,215735.02,"2.8016,0.0475,14.8969,1.6757,0.0358,0.6793,0.4811,7.7178"
sec_contact_asym_mig_size,Round_4_Replicate_33,-119289.67,238595.34,223030.76,108917.02,"1.2086,0.0483,28.5214,3.1513,0.0208,0.3621,0.3907,17.6652"
sec_contact_asym_mig_size,Round_4_Replicate_1,-128874.66,257765.32,247585.8,205141.89,"1.3268,0.0938,15.6232,1.9418,0.0476,0.638,0.8973,7.981"
sec_contact_asym_mig_size_three_epoch,Round_3_Replicate_2,-262004.34,524026.68,490137.36,352245.42,"9.2499,0.2632,9.7749,3.0947,14.8383,8.4854,2.7319,2.1639,0.6955"
sec_contact_asym_mig_size_three_epoch,Round_2_Replicate_11,-381883.88,763785.76,782043.75,520797.25,"4.4522,0.7694,3.9889,1.4646,9.6062,12.793,1.5505,2.1831,0.3926"
sec_contact_asym_mig_size_three_epoch,Round_3_Replicate_5,-800890.22,1601798.44,1742522.13,376301.77,"3.8925,1.7884,5.8694,1.8887,7.0462,4.843,3.1688,6.41,0.8102"
